CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,1,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,1,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,0.918345,1,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,95.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,95.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,1,-1,90.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,2,52,0.962382,1,-1,93.8182,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,2,52,-1,0,-1,93.8182,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,2,52,-1,0,-1,93.8182,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
2,129,-1,0,-1,90.7273,-1,3,109,-1,1,-1,90.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,1,-1,96,-1,
2,129,-1,0,-1,90.7273,-1,3,109,-1,0,-1,90.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
3,79.5,0.902884,1,-1,87.7273,-1,3,109,-1,0,-1,90.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
3,79.5,-1,0,-1,87.7273,-1,3,109,-1,0,-1,90.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
3,79.5,-1,0,-1,87.7273,-1,4,99,0.782902,1,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
4,91.3333,0.832592,1,-1,87.7273,-1,4,99,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
4,91.3333,-1,0,-1,87.7273,-1,4,99,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
5,54,0.995374,1,-1,86.1818,-1,4,99,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
5,54,0.970368,0,0.998889,86.1818,1,4,99,-1,0,1,89.1818,1,0,-nan(ind),-1,0,1,100,1,2,6,-1,0,0.953333,91.3636,1,1,138,-1,0,0.998889,96,1,
5,54,-1,0,-1,86.1818,-1,5,118,0.842396,1,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
5,54,-1,0,-1,86.1818,-1,5,118,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
5,54,0.796695,0,-1,86.1818,-1,5,118,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,0.972452,1,-1,86,-1,5,118,0.996203,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,1,0,-1,86,-1,5,118,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,1,0,-1,86,-1,5,118,-1,0,-1,89.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,0.998494,1,-1,88.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,-1,0,-1,88.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,-1,0,-1,88.1818,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,1,138,-1,0,-1,96,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,0.851052,0,-1,88.1818,-1,1,173,-1,1,-1,97.0909,-1,2,6,-1,0,-1,91.3636,-1,2,4,-1,1,-1,91.1818,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,0.968976,0,-1,88.1818,-1,2,171,-1,1,-1,93.6364,-1,2,6,-1,0,-1,91.3636,-1,3,3,-1,1,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,0.64865,0,-1,88.1818,-1,2,171,-1,0,-1,93.6364,-1,2,6,-1,0,-1,91.3636,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,0.472747,0,-1,88.1818,-1,3,114.5,0.96147,1,-1,90.7273,-1,2,6,-1,0,-1,91.3636,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,6,87.6667,-1,0,-1,88.1818,-1,3,114.5,-1,0,-1,90.7273,-1,2,6,-1,0,-1,91.3636,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,7,104.75,-1,1,-1,84.5455,-1,3,114.5,-1,0,-1,90.7273,-1,3,79.5,-1,1,-1,87.4545,-1,3,3,0.325935,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,7,104.75,-1,0,-1,84.5455,-1,3,114.5,-1,0,-1,90.7273,-1,4,22,0.889058,1,-1,84.5455,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,8,74.25,0.795685,1,-1,81.9091,-1,3,114.5,-1,0,-1,90.7273,-1,4,22,-1,0,-1,84.5455,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,8,74.25,-1,0,-1,81.9091,-1,3,114.5,-1,0,-1,90.7273,-1,4,22,-1,0,-1,84.5455,-1,3,3,-1,0,-1,91.0909,-1,
6,44.3333,-1,0,-1,86,-1,8,74.25,-1,0,-1,81.9091,-1,3,114.5,-1,0,-1,90.7273,-1,5,19,0.791888,1,-1,84,-1,4,68.5,0.264953,1,-1,86.7273,-1,
6,44.3333,-1,0,-1,86,-1,8,74.25,-1,0,-1,81.9091,-1,3,114.5,-1,0,-1,90.7273,-1,5,19,-1,0,-1,84,-1,4,68.5,-1,0,-1,86.7273,-1,
