CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
2,30,-1,0,-1,75.1429,-1,1,43,-1,0,-1,75.7143,-1,1,41,-1,1,-1,75.4286,-1,3,25.5,-1,0,-1,47.7143,-1,6,8.5,0.235221,1,-1,58.8571,-1,3,28.5,0.498736,0,-1,62.4286,-1,2,41,0.314893,0,-1,63,-1,3,25.5,0.588672,0,-1,61,-1,1,39,0.13469,0,-1,87.4286,-1,5,34.6667,-1,0,-1,50.4286,-1,
3,36.5,-1,1,-1,62.8571,-1,1,43,-1,0,-1,75.7143,-1,1,41,-1,0,-1,75.4286,-1,3,25.5,-1,0,-1,47.7143,-1,6,8.5,-1,0,-1,58.8571,-1,3,28.5,-1,0,-1,62.4286,-1,2,41,-1,0,-1,63,-1,3,25.5,0.685391,0,-1,61,-1,2,39,-1,1,-1,75.1429,-1,5,34.6667,-1,0,-1,50.4286,-1,
4,38.6667,-1,1,1,62.5714,1,1,43,-1,0,1,75.7143,1,2,40,-1,1,1,63.1429,1,3,25.5,0.0328159,0,0.9775,47.7143,1,6,8.5,-1,0,0.8575,58.8571,0.947368,3,28.5,-1,0,0.98,62.4286,1,2,41,-1,0,1,63,1,3,25.5,0.737521,0,0.9975,61,1,2,39,-1,0,1,75.1429,1,5,34.6667,-1,0,0.975,50.4286,1,
5,39.25,-1,1,-1,50.4286,-1,2,42,-1,1,-1,63.5714,-1,2,40,-1,0,-1,63.1429,-1,4,30.6667,0.625204,1,-1,35.2857,-1,6,8.5,-1,0,-1,58.8571,-1,3,28.5,-1,0,-1,62.4286,-1,2,41,-1,0,-1,63,-1,3,25.5,-1,0,-1,61,-1,2,39,-1,0,-1,75.1429,-1,6,23.3333,0.347577,1,-1,47.2857,-1,
5,39.25,-1,0,-1,50.4286,-1,2,42,-1,0,-1,63.5714,-1,2,40,-1,0,-1,63.1429,-1,4,30.6667,-1,0,-1,35.2857,-1,6,8.5,0.9691,0,-1,58.8571,-1,4,33.3333,-1,1,-1,38.1429,-1,2,41,-1,0,-1,63,-1,3,25.5,0.254429,0,-1,61,-1,2,39,-1,0,-1,75.1429,-1,6,23.3333,0.787727,0,-1,47.2857,-1,
5,39.25,-1,0,-1,50.4286,-1,2,42,-1,0,-1,63.5714,-1,2,40,-1,0,-1,63.1429,-1,5,18.3333,-1,1,-1,33.4286,-1,7,7.5,0.665678,1,-1,58.5714,-1,5,27.6667,-1,1,-1,37.5714,-1,2,41,-1,0,-1,63,-1,3,25.5,0.0753342,0,-1,61,-1,3,39.6667,-1,1,-1,50.5714,-1,6,23.3333,0.46905,0,-1,47.2857,-1,
5,39.25,-1,0,-1,50.4286,-1,2,42,-1,0,-1,63.5714,-1,3,40.3333,-1,1,-1,50.7143,-1,5,18.3333,-1,0,-1,33.4286,-1,7,7.5,0.585209,0,-1,58.5714,-1,5,27.6667,-1,0,-1,37.5714,-1,2,41,-1,0,-1,63,-1,4,23,0.957215,1,-1,60.1429,-1,3,39.6667,-1,0,-1,50.5714,-1,6,23.3333,0.27703,0,-1,47.2857,-1,
5,39.25,-1,0,1,50.4286,1,2,42,-1,0,1,63.5714,1,3,40.3333,-1,0,1,50.7143,1,5,18.3333,-1,0,0.8825,33.4286,1,8,20,-1,1,0.7775,34.5714,0.947368,5,27.6667,-1,0,0.98,37.5714,1,2,41,-1,0,1,63,1,4,23,-1,0,0.995,60.1429,1,4,40,-1,1,1,26,1,6,23.3333,-1,0,0.955,47.2857,1,
6,32.25,0.73136,1,-1,48.7143,-1,2,42,-1,0,-1,63.5714,-1,3,40.3333,-1,0,-1,50.7143,-1,6,24,-1,1,-1,33.4286,-1,8,20,0.835606,0,-1,34.5714,-1,5,27.6667,-1,0,-1,37.5714,-1,2,41,0.153565,0,-1,63,-1,4,23,-1,0,-1,60.1429,-1,4,40,-1,0,-1,26,-1,7,27.25,0.247039,1,-1,22.4286,-1,
7,24.75,0.557055,1,-1,47.2857,-1,3,29.5,-1,1,-1,62.4286,-1,4,40.5,-1,1,-1,38.2857,-1,7,15.75,-1,1,-1,32.8571,-1,8,20,0.863257,0,-1,34.5714,-1,5,27.6667,-1,0,-1,37.5714,-1,2,41,-1,0,-1,63,-1,4,23,-1,0,-1,60.1429,-1,5,32.5,-1,1,-1,23.4286,-1,8,17.25,0.376443,1,-1,20.4286,-1,
