CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19,CounterExamples_20,Specificity_20,PRev_20,Pos_20,VarDist_20,RuleDist_20,PlanDist_20,CounterExamples_21,Specificity_21,PRev_21,Pos_21,VarDist_21,RuleDist_21,PlanDist_21,CounterExamples_22,Specificity_22,PRev_22,Pos_22,VarDist_22,RuleDist_22,PlanDist_22,CounterExamples_23,Specificity_23,PRev_23,Pos_23,VarDist_23,RuleDist_23,PlanDist_23,CounterExamples_24,Specificity_24,PRev_24,Pos_24,VarDist_24,RuleDist_24,PlanDist_24,
3,47,-1,1,1,52.2857,1,3,23.5,-1,0,0.905,73.4286,1,0,-nan(ind),-1,0,1,100,1,4,11,-1,1,0.925,58.2857,1,3,45,-1,0,1,39.8571,1,2,45,-1,0,1,52,1,0,-nan(ind),-1,0,1,100,1,1,41,-1,1,1,87.5714,1,1,39,-1,1,1,87.4286,1,4,32,-1,1,0.92,37.7143,1,4,42,-1,0,1,26.8571,1,2,44,-1,0,1,75.8571,1,0,-nan(ind),-1,0,1,100,1,4,30.6667,-1,1,0.905,49.1429,1,1,41,0.632912,0,1,75.4286,1,2,43,-1,0,1,63.4286,1,1,39,-1,0,1,87.4286,1,2,43,-1,1,1,75.4286,1,1,43,-1,0,1,75.7143,1,2,43,-1,0,1,63.4286,1,1,43,-1,0,1,87.7143,1,4,35,-1,1,0.995,48.8571,1,4,33.3333,-1,1,0.9975,48.5714,1,3,41.6667,-1,1,1,38.7143,1,0,-nan(ind),-1,0,1,100,1,
3,47,-1,0,-1,52.2857,-1,3,23.5,-1,0,-1,73.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,11,0.906376,0,-1,58.2857,-1,4,44.5,-1,1,-1,27.5714,-1,2,45,-1,0,-1,52,-1,0,-nan(ind),-1,0,-1,100,-1,1,41,-1,0,-1,87.5714,-1,1,39,-1,0,-1,87.4286,-1,4,32,-1,0,-1,37.7143,-1,4,42,-1,0,-1,26.8571,-1,2,44,-1,0,-1,75.8571,-1,0,-nan(ind),-1,0,-1,100,-1,4,30.6667,-1,0,-1,49.1429,-1,1,41,-1,0,-1,75.4286,-1,2,43,-1,0,-1,63.4286,-1,1,39,-1,0,-1,87.4286,-1,3,27.5,-1,1,-1,73.8571,-1,1,43,-1,0,-1,75.7143,-1,2,43,-1,0,-1,63.4286,-1,1,43,-1,0,-1,87.7143,-1,5,37.5,-1,1,-1,24.8571,-1,4,33.3333,-1,0,-1,48.5714,-1,3,41.6667,-1,0,-1,38.7143,-1,0,-nan(ind),-1,0,-1,100,-1,
4,35.6667,-1,1,-1,48.8571,-1,3,23.5,-1,0,-1,73.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,11,-1,0,-1,58.2857,-1,5,35.25,-1,1,-1,24.1429,-1,2,45,-1,0,-1,52,-1,0,-nan(ind),-1,0,-1,100,-1,1,41,-1,0,-1,87.5714,-1,1,39,-1,0,-1,87.4286,-1,4,32,-1,0,-1,37.7143,-1,4,42,0.717035,0,-1,26.8571,-1,3,44.3333,-1,1,-1,51.8571,-1,0,-nan(ind),-1,0,-1,100,-1,4,30.6667,-1,0,-1,49.1429,-1,1,41,-1,0,-1,75.4286,-1,2,43,-1,0,-1,63.4286,-1,1,39,-1,0,-1,87.4286,-1,4,32.6667,-1,1,-1,49.5714,-1,1,43,-1,0,-1,75.7143,-1,2,43,-1,0,-1,63.4286,-1,1,43,-1,0,-1,87.7143,-1,5,37.5,-1,0,-1,24.8571,-1,4,33.3333,-1,0,-1,48.5714,-1,3,41.6667,-1,0,-1,38.7143,-1,0,-nan(ind),-1,0,-1,100,-1,
4,35.6667,-1,0,-1,48.8571,-1,3,23.5,-1,0,-1,73.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,11,-1,0,-1,58.2857,-1,5,35.25,-1,0,-1,24.1429,-1,3,44.3333,-1,1,-1,40,-1,0,-nan(ind),-1,0,-1,100,-1,2,41,0.974952,1,-1,63,-1,1,39,-1,0,-1,87.4286,-1,4,32,-1,0,-1,37.7143,-1,4,42,-1,0,-1,26.8571,-1,4,44.5,-1,1,-1,27.8571,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,1,-1,24.8571,-1,1,41,-1,0,-1,75.4286,-1,3,43,-1,1,-1,39.1429,-1,2,39,-1,1,-1,62.5714,-1,4,32.6667,-1,0,-1,49.5714,-1,1,43,-1,0,-1,75.7143,-1,2,43,-1,0,-1,63.4286,-1,2,43,-1,1,-1,75.4286,-1,6,30,-1,1,-1,23.2857,-1,5,20.3333,-1,1,-1,46.5714,-1,3,41.6667,-1,0,-1,38.7143,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,1,-1,47.1429,-1,3,23.5,0.894215,0,-1,73.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,11,-1,0,-1,58.2857,-1,5,35.25,-1,0,-1,24.1429,-1,4,33.6667,-1,1,-1,38.2857,-1,1,41,-1,1,-1,75.4286,-1,2,41,-1,0,-1,63,-1,1,39,-1,0,-1,87.4286,-1,5,34.75,-1,1,-1,25.7143,-1,4,42,-1,0,-1,26.8571,-1,5,44.2,0.983362,1,-1,27.8571,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,0,-1,24.8571,-1,1,41,-1,0,-1,75.4286,-1,3,43,0.966534,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,4,32.6667,-1,0,-1,49.5714,-1,1,43,-1,0,-1,75.7143,-1,2,43,-1,0,-1,63.4286,-1,3,24.5,-1,1,-1,73.4286,-1,6,30,-1,0,-1,23.2857,-1,5,20.3333,-1,0,-1,46.5714,-1,3,41.6667,-1,0,-1,38.7143,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,0,-1,47.1429,-1,3,23.5,-1,0,-1,73.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,11,-1,0,-1,58.2857,-1,5,35.25,-1,0,-1,24.1429,-1,5,22.6667,-1,1,-1,35.4286,-1,1,41,-1,0,-1,75.4286,-1,2,41,-1,0,-1,63,-1,1,39,-1,0,-1,87.4286,-1,5,34.75,-1,0,-1,25.7143,-1,4,42,-1,0,-1,26.8571,-1,5,44.2,-1,0,-1,27.8571,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,0,-1,24.8571,-1,1,41,-1,0,-1,75.4286,-1,3,43,-1,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,4,32.6667,-1,0,-1,49.5714,-1,1,43,-1,0,-1,75.7143,-1,2,43,-1,0,-1,63.4286,-1,3,24.5,-1,0,-1,73.4286,-1,6,30,0.893305,0,-1,23.2857,-1,5,20.3333,-1,0,-1,46.5714,-1,3,41.6667,-1,0,-1,38.7143,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,0,-1,47.1429,-1,4,30,-1,1,-1,49.1429,-1,0,-nan(ind),-1,0,-1,100,-1,5,21.6667,-1,1,-1,46.2857,-1,5,35.25,-1,0,-1,24.1429,-1,5,22.6667,-1,0,-1,35.4286,-1,1,41,-1,0,-1,75.4286,-1,3,41,-1,1,-1,50.5714,-1,2,39,-1,1,-1,75.1429,-1,6,26.5,-1,1,-1,22.5714,-1,5,42.2,-1,1,-1,14.5714,-1,6,44.3333,-1,1,-1,15.7143,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,0,-1,24.8571,-1,2,41,-1,1,-1,63.2857,-1,3,43,-1,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,5,23.6667,-1,1,-1,47.2857,-1,1,43,-1,0,-1,75.7143,-1,3,43,-1,1,-1,51.4286,-1,4,30.6667,-1,1,-1,49.1429,-1,6,30,-1,0,-1,23.2857,-1,5,20.3333,-1,0,-1,46.5714,-1,4,30.6667,-1,1,-1,35.2857,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,0,-1,47.1429,-1,4,30,-1,0,-1,49.1429,-1,0,-nan(ind),-1,0,-1,100,-1,6,27.5,-1,1,-1,22.2857,-1,5,35.25,-1,0,-1,24.1429,-1,5,22.6667,-1,0,-1,35.4286,-1,1,41,-1,0,-1,75.4286,-1,3,41,-1,0,-1,50.5714,-1,2,39,-1,0,-1,75.1429,-1,7,17.75,-1,1,-1,20.7143,-1,6,42.3333,0.981636,1,-1,14,-1,7,38.5,-1,1,-1,14,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,0,-1,24.8571,-1,3,23.5,-1,1,-1,60.1429,-1,3,43,-1,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,6,21,0.985924,1,-1,46.8571,-1,1,43,-1,0,-1,75.7143,-1,3,43,-1,0,-1,51.4286,-1,4,30.6667,-1,0,-1,49.1429,-1,7,21.25,-1,1,-1,19.8571,-1,5,20.3333,-1,0,-1,46.5714,-1,4,30.6667,-1,0,-1,35.2857,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,0,-1,47.1429,-1,4,30,-1,0,-1,49.1429,-1,0,-nan(ind),-1,0,-1,100,-1,6,27.5,-1,0,-1,22.2857,-1,5,35.25,0.671378,0,-1,24.1429,-1,6,23.3333,-1,1,-1,35.7143,-1,2,41,-1,1,-1,63,-1,3,41,-1,0,-1,50.5714,-1,2,39,-1,0,-1,75.1429,-1,7,17.75,-1,0,-1,20.7143,-1,6,42.3333,-1,0,-1,14,-1,8,31.6667,-1,1,-1,11.8571,-1,0,-nan(ind),-1,0,-1,100,-1,5,33.75,-1,0,-1,24.8571,-1,3,23.5,-1,0,-1,60.1429,-1,3,43,-1,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,6,21,-1,0,-1,46.8571,-1,1,43,-1,0,-1,75.7143,-1,3,43,0.907504,0,-1,51.4286,-1,5,30,-1,1,-1,49.1429,-1,7,21.25,-1,0,-1,19.8571,-1,6,26,-1,1,-1,34.5714,-1,4,30.6667,-1,0,-1,35.2857,-1,0,-nan(ind),-1,0,-1,100,-1,
5,23.6667,-1,0,-1,47.1429,-1,4,30,-1,0,-1,49.1429,-1,0,-nan(ind),-1,0,-1,100,-1,6,27.5,-1,0,-1,22.2857,-1,5,35.25,-1,0,-1,24.1429,-1,7,28.25,-1,1,-1,23.4286,-1,2,41,-1,0,-1,63,-1,3,41,-1,0,-1,50.5714,-1,2,39,-1,0,-1,75.1429,-1,7,17.75,-1,0,-1,20.7143,-1,7,36.6667,-1,1,-1,10.2857,-1,8,31.6667,-1,0,-1,11.8571,-1,0,-nan(ind),-1,0,-1,100,-1,6,35.2,-1,1,-1,24.1429,-1,3,23.5,-1,0,-1,60.1429,-1,3,43,-1,0,-1,39.1429,-1,2,39,-1,0,-1,62.5714,-1,6,21,-1,0,-1,46.8571,-1,1,43,0.930606,0,-1,75.7143,-1,4,43.5,-1,1,-1,27.4286,-1,5,30,-1,0,-1,49.1429,-1,7,21.25,-1,0,-1,19.8571,-1,6,26,-1,0,-1,34.5714,-1,4,30.6667,-1,0,-1,35.2857,-1,0,-nan(ind),-1,0,-1,100,-1,
