CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
5,33,-1,1,-1,37.8571,-1,2,43,-1,0,-1,63.4286,-1,5,35.6667,-1,0,-1,51.2857,-1,3,43.6667,-1,1,-1,51.7143,-1,6,42.8,-1,0,-1,15.8571,-1,4,37.6667,-1,0,-1,50.4286,-1,0,-nan(ind),-1,0,-1,100,-1,5,37,0.924399,0,-1,38.1429,-1,0,-nan(ind),-1,0,-1,100,-1,3,31.5,-1,0,-1,63.1429,-1,
5,33,-1,0,-1,37.8571,-1,2,43,-1,0,-1,63.4286,-1,5,35.6667,-1,0,-1,51.2857,-1,4,38,0.864094,1,-1,50.5714,-1,7,39.2,0.925632,1,-1,14.1429,-1,5,26,-1,1,-1,48.8571,-1,1,49,-1,1,-1,88.1429,-1,6,31.5,-1,1,-1,37.2857,-1,1,49,-1,1,-1,88.1429,-1,4,19.5,-1,1,-1,61.7143,-1,
5,33,-1,0,0.9875,37.8571,1,3,43,-1,1,1,39.1429,1,6,28.3333,-1,1,0.995,50.4286,1,4,38,-1,0,1,50.5714,1,7,39.2,-1,0,0.9525,14.1429,1,5,26,-1,0,0.985,48.8571,1,2,49,-1,1,1,64.7143,1,7,25.5,-1,1,0.9975,35.5714,1,1,49,-1,0,1,88.1429,1,4,19.5,-1,0,0.9975,61.7143,1,
6,31.3333,-1,1,-1,37.2857,-1,4,30.6667,-1,1,-1,37.4286,-1,6,28.3333,-1,0,-1,50.4286,-1,5,38.75,-1,1,-1,38.1429,-1,7,39.2,0.901996,0,-1,14.1429,-1,5,26,0.813412,0,-1,48.8571,-1,2,49,-1,0,-1,64.7143,-1,7,25.5,-1,0,-1,35.5714,-1,2,49,-1,1,-1,64.7143,-1,5,26.6667,-1,1,-1,37.1429,-1,
6,31.3333,-1,0,-1,37.2857,-1,4,30.6667,-1,0,-1,37.4286,-1,6,28.3333,-1,0,-1,50.4286,-1,5,38.75,-1,0,-1,38.1429,-1,7,39.2,-1,0,-1,14.1429,-1,5,26,0.476788,0,-1,48.8571,-1,3,48.3333,-1,1,-1,52.7143,-1,7,25.5,-1,0,-1,35.5714,-1,2,49,-1,0,-1,64.7143,-1,5,26.6667,-1,0,-1,37.1429,-1,
6,31.3333,-1,0,-1,37.2857,-1,4,30.6667,-1,0,-1,37.4286,-1,6,28.3333,-1,0,-1,50.4286,-1,6,39.2,-1,1,-1,13.5714,-1,8,31.6,-1,1,-1,12.4286,-1,5,26,-1,0,-1,48.8571,-1,4,40.6667,0.961156,1,-1,52.1429,-1,7,25.5,-1,0,-1,35.5714,-1,3,37.5,-1,1,-1,63.2857,-1,5,26.6667,-1,0,-1,37.1429,-1,
7,27.3333,-1,1,-1,36.7143,-1,5,27,0.579349,1,-1,36.5714,-1,6,28.3333,-1,0,-1,50.4286,-1,6,39.2,0.940471,0,-1,13.5714,-1,9,31.2,0.89167,1,-1,12.1429,-1,5,26,-1,0,-1,48.8571,-1,5,39.3333,-1,1,-1,52,-1,8,24.5,0.932139,1,-1,35.4286,-1,4,40,-1,1,-1,63.2857,-1,5,26.6667,-1,0,-1,37.1429,-1,
7,27.3333,-1,0,0.985,36.7143,1,6,30.5,-1,1,0.97,24.4286,1,6,28.3333,-1,0,0.995,50.4286,1,6,39.2,-1,0,1,13.5714,1,10,24.6,-1,1,0.915,9.57143,1,5,26,-1,0,0.985,48.8571,1,6,31,-1,1,1,51.1429,1,9,21.5,-1,1,0.9975,35.1429,1,4,40,-1,0,1,63.2857,1,5,26.6667,-1,0,0.9975,37.1429,1,
8,22.6667,-1,1,-1,36.1429,-1,7,23.75,-1,1,-1,22.7143,-1,6,28.3333,-1,0,-1,50.4286,-1,6,39.2,-1,0,-1,13.5714,-1,10,24.6,-1,0,-1,9.57143,-1,5,26,-1,0,-1,48.8571,-1,7,28.6667,-1,1,-1,49.7143,-1,9,21.5,-1,0,-1,35.1429,-1,5,40.75,-1,1,-1,51.2857,-1,5,26.6667,-1,0,-1,37.1429,-1,
8,22.6667,-1,0,-1,36.1429,-1,8,22.5,0.901671,1,-1,22.1429,-1,6,28.3333,-1,0,-1,50.4286,-1,6,39.2,-1,0,-1,13.5714,-1,10,24.6,-1,0,-1,9.57143,-1,5,26,-1,0,-1,48.8571,-1,7,28.6667,-1,0,-1,49.7143,-1,10,19.25,0.824616,1,-1,35,-1,6,34,-1,1,-1,50.4286,-1,5,26.6667,-1,0,-1,37.1429,-1,
