CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,
5,25,-1,0,-1,84.8182,-1,2,166,-1,0,-1,93.2727,-1,1,173,-1,0,-1,97.0909,-1,
5,25,-1,0,-1,84.8182,-1,2,166,-1,0,-1,93.2727,-1,1,173,-1,0,-1,97.0909,-1,
5,25,-1,0,-1,84.8182,-1,2,166,-1,0,-1,93.2727,-1,1,173,-1,0,-1,97.0909,-1,
5,25,-1,0,-1,84.8182,-1,2,166,-1,0,-1,93.2727,-1,1,173,-1,0,-1,97.0909,-1,
5,25,-1,0,-1,84.8182,-1,3,113,-1,1,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,-1,1,-1,80.3636,-1,3,113,-1,0,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,-1,0,-1,80.3636,-1,3,113,-1,0,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,0.193578,0,-1,80.3636,-1,3,113,-1,0,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,0.164456,0,-1,80.3636,-1,3,113,-1,0,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,0.791512,0,-1,80.3636,-1,3,113,0.783691,0,-1,90.2727,-1,1,173,-1,0,-1,97.0909,-1,
6,61,0.971204,0,-1,80.3636,-1,3,113,0.777251,0,-1,90.2727,-1,2,4,0.908309,1,-1,91.1818,-1,
6,61,-1,0,-1,80.3636,-1,3,113,0.783659,0,-1,90.2727,-1,2,4,-1,0,-1,91.1818,-1,
6,61,-1,0,-1,80.3636,-1,4,93,0.975664,1,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
6,61,-1,0,-1,80.3636,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,1,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,0.928889,78.1818,0.95,4,93,-1,0,1,89.2727,1,2,4,-1,0,0.924444,91.1818,1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,2,4,-1,0,-1,91.1818,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,3,86.5,-1,1,-1,87.6364,-1,
7,49.3333,-1,0,-1,78.1818,-1,4,93,-1,0,-1,89.2727,-1,3,86.5,-1,0,-1,87.6364,-1,
7,49.3333,-1,0,-1,78.1818,-1,5,32,0.839988,1,-1,84.6364,-1,3,86.5,-1,0,-1,87.6364,-1,
