CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,2,6,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,1,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.739331,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.739824,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.739214,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.771984,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.766213,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.771984,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,1,95.1818,1,4,17.5,0.263069,0,0.923333,91.0909,1,3,4,-1,0,0.924444,91.1818,1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,0.263069,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,4,17.5,-1,0,-1,91.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,5,40.6667,-1,1,-1,84.8182,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,5,40.6667,-1,0,-1,84.8182,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,6,54.75,-1,1,-1,79,-1,3,4,0.264414,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,6,54.75,-1,0,-1,79,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,6,54.75,-1,0,-1,79,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,6,54.75,-1,0,-1,79,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,1,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,0.264414,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
1,113,-1,0,-1,95.1818,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,1,-1,89.7273,-1,7,32.75,0.696941,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,0.621984,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,0.991735,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,0.247797,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,1,89.7273,1,7,32.75,-1,0,0.913333,76.0909,1,3,4,-1,0,0.924444,91.1818,1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,7,32.75,-1,0,-1,76.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,8,42.4,-1,1,-1,69.5455,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,8,42.4,-1,0,-1,69.5455,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,9,49,-1,1,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
2,111,-1,0,-1,89.7273,-1,9,49,0.15596,0,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
3,58,-1,1,-1,85.7273,-1,9,49,0.135242,0,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
3,58,-1,0,-1,85.7273,-1,9,49,0.935502,0,-1,63.0909,-1,3,4,0.264414,0,-1,91.1818,-1,
3,58,-1,0,-1,85.7273,-1,9,49,-1,0,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
4,73,-1,1,-1,80.2727,-1,9,49,-1,0,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
4,73,-1,0,-1,80.2727,-1,9,49,-1,0,-1,63.0909,-1,3,4,-1,0,-1,91.1818,-1,
4,73,0.567501,0,-1,80.2727,-1,10,55.8571,-1,1,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
4,73,-1,0,-1,80.2727,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
4,73,-1,0,-1,80.2727,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
4,73,-1,0,-1,80.2727,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
5,82,-1,1,-1,74.9091,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
5,82,-1,0,-1,74.9091,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
6,73.75,0.383322,1,-1,74.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
7,51.5,0.594968,1,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,0.741967,0,-1,57.4545,-1,3,4,-1,0,-1,91.1818,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,4,56.5,-1,1,-1,85.8182,-1,
7,51.5,0.787336,0,-1,71.3636,-1,10,55.8571,0.575033,0,-1,57.4545,-1,4,56.5,-1,0,-1,85.8182,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,0.559253,0,-1,57.4545,-1,4,56.5,0.088647,0,-1,85.8182,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,0.458107,0,-1,57.4545,-1,4,56.5,0.174501,0,-1,85.8182,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,4,56.5,0.194471,0,-1,85.8182,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,0.4507,1,-1,84.9091,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
7,51.5,-1,0,0.978889,71.3636,1,10,55.8571,-1,0,0.913333,57.4545,1,5,41,-1,0,0.924444,84.9091,1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
7,51.5,-1,0,-1,71.3636,-1,10,55.8571,0.469992,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,-1,1,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,0.412588,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,0.722153,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,-1,0,-1,71.3636,-1,10,55.8571,-1,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,-1,0,-1,71.3636,-1,10,55.8571,0.134982,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
8,50.75,-1,0,-1,71.3636,-1,10,55.8571,0.12187,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
9,49,-1,1,-1,71.2727,-1,10,55.8571,0.169748,0,-1,57.4545,-1,5,41,-1,0,-1,84.9091,-1,
9,49,-1,0,-1,71.2727,-1,11,50.7143,0.440527,1,-1,56.4545,-1,5,41,-1,0,-1,84.9091,-1,
9,49,0.859329,0,-1,71.2727,-1,12,45.1429,0.913002,1,-1,55.2727,-1,5,41,-1,0,-1,84.9091,-1,
