CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,95.7273,-1,
2,129,-1,1,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
2,129,-1,0,-1,90.7273,-1,
3,89.5,-1,1,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,-1,0,-1,88.9091,-1,
3,89.5,0.567634,0,-1,88.9091,-1,
4,72,0.282628,1,0.997778,87.5455,1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
4,72,-1,0,-1,87.5455,-1,
5,86.3333,-1,1,-1,82.7273,-1,
5,86.3333,-1,0,-1,82.7273,-1,
5,86.3333,-1,0,-1,82.7273,-1,
5,86.3333,0.559459,0,-1,82.7273,-1,
5,86.3333,0.573314,0,-1,82.7273,-1,
6,50.6667,0.728249,1,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
6,50.6667,-1,0,-1,78.8182,-1,
7,47,0.819538,1,-1,77.8182,-1,
7,47,-1,0,-1,77.8182,-1,
7,47,-1,0,-1,77.8182,-1,
7,47,-1,0,-1,77.8182,-1,
7,47,-1,0,-1,77.8182,-1,
8,46.6667,-1,1,0.922222,77.7273,0.95,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
8,46.6667,-1,0,-1,77.7273,-1,
9,45.3333,-1,1,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,0.613125,0,-1,77.6364,-1,
9,45.3333,0.747941,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
9,45.3333,-1,0,-1,77.6364,-1,
10,44,-1,1,-1,77.2727,-1,
10,44,-1,0,-1,77.2727,-1,
11,43.6667,-1,1,-1,77.1818,-1,
11,43.6667,-1,0,-1,77.1818,-1,
12,65.5,-1,1,-1,77.1818,-1,
12,65.5,-1,0,-1,77.1818,-1,
12,65.5,-1,0,0.783333,77.1818,0.85,
12,65.5,-1,0,-1,77.1818,-1,
12,65.5,-1,0,-1,77.1818,-1,
12,65.5,-1,0,-1,77.1818,-1,
13,54.75,0.913683,1,-1,77.0909,-1,
13,54.75,-1,0,-1,77.0909,-1,
13,54.75,-1,0,-1,77.0909,-1,
13,54.75,-1,0,-1,77.0909,-1,
13,54.75,0.428557,0,-1,77.0909,-1,
13,54.75,0.588961,0,-1,77.0909,-1,
13,54.75,0.932197,0,-1,77.0909,-1,
13,54.75,-1,0,-1,77.0909,-1,
13,54.75,-1,0,-1,77.0909,-1,
13,54.75,0.407805,0,-1,77.0909,-1,
14,39,0.936146,1,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,0.782222,77.0909,0.85,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
14,39,-1,0,-1,77.0909,-1,
15,34.25,0.997404,1,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,0.104725,0,-1,77.0909,-1,
15,34.25,0.963758,0,-1,77.0909,-1,
15,34.25,0.960899,0,-1,77.0909,-1,
15,34.25,0.960899,0,-1,77.0909,-1,
15,34.25,0.999997,0,-1,77.0909,-1,
15,34.25,0.063529,0,-1,77.0909,-1,
15,34.25,0.960322,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
15,34.25,-1,0,-1,77.0909,-1,
16,53.6,-1,1,-1,77.0909,-1,
16,53.6,-1,0,-1,77.0909,-1,
16,53.6,0.969962,0,-1,77.0909,-1,
16,53.6,0.970039,0,-1,77.0909,-1,
16,53.6,0.958693,0,-1,77.0909,-1,
16,53.6,0.0579788,0,-1,77.0909,-1,
17,53.4,0.976409,1,-1,77.0909,-1,
18,66.3333,-1,1,-1,72.5455,-1,
18,66.3333,0.733823,0,0.781111,72.5455,0.8,
18,66.3333,0.984502,0,-1,72.5455,-1,
18,66.3333,-1,0,-1,72.5455,-1,
18,66.3333,-1,0,-1,72.5455,-1,
18,66.3333,-1,0,-1,72.5455,-1,
