CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
2,137,-1,1,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
3,93,-1,1,-1,89.6364,-1,
3,93,-1,0,-1,89.6364,-1,
4,62,0.591333,1,-1,87.8182,-1,
4,62,-1,0,0.997778,87.8182,1,
4,62,-1,0,-1,87.8182,-1,
5,30.5,-1,1,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
5,30.5,-1,0,-1,85.4545,-1,
6,29.5,-1,1,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,0.937778,85.2727,0.95,
6,29.5,0.851933,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
6,29.5,-1,0,-1,85.2727,-1,
7,65.3333,-1,1,-1,85.2727,-1,
7,65.3333,-1,0,-1,85.2727,-1,
7,65.3333,-1,0,-1,85.2727,-1,
7,65.3333,-1,0,-1,85.2727,-1,
7,65.3333,-1,0,-1,85.2727,-1,
8,83.25,-1,1,-1,80.9091,-1,
8,83.25,-1,0,-1,80.9091,-1,
8,83.25,-1,0,-1,80.9091,-1,
8,83.25,-1,0,-1,80.9091,-1,
9,40.5,0.707139,1,-1,78.4545,-1,
10,39.5,-1,1,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,0.835556,78.0909,0.9,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
10,39.5,-1,0,-1,78.0909,-1,
11,57.8,-1,1,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,0.599943,0,-1,73.7273,-1,
11,57.8,0.851128,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,0.765824,0,-1,73.7273,-1,
11,57.8,0.87176,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,-1,0,-1,73.7273,-1,
11,57.8,0.412066,0,-1,73.7273,-1,
12,56.8,0.914172,1,-1,73.3636,-1,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,-1,0,0.827778,73.3636,0.85,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,-1,0,-1,73.3636,-1,
12,56.8,0.87108,0,-1,73.3636,-1,
13,55.6,0.899996,1,-1,73.2727,-1,
13,55.6,0.731329,0,-1,73.2727,-1,
13,55.6,0.191443,0,-1,73.2727,-1,
13,55.6,0.799404,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,0.00142616,0,-1,73.2727,-1,
13,55.6,0.00141549,0,-1,73.2727,-1,
13,55.6,0.837429,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,-1,0,-1,73.2727,-1,
13,55.6,0.518627,0,-1,73.2727,-1,
14,69.1667,0.814498,1,-1,73.2727,-1,
14,69.1667,-1,0,-1,73.2727,-1,
14,69.1667,0.511089,0,-1,73.2727,-1,
14,69.1667,0.835932,0,-1,73.2727,-1,
14,69.1667,-1,0,-1,73.2727,-1,
14,69.1667,0.425943,0,0.778889,73.2727,0.8,
14,69.1667,0.398915,0,-1,73.2727,-1,
15,47.8333,0.999772,1,-1,73.2727,-1,
15,47.8333,-1,0,-1,73.2727,-1,
