CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
1,137,-1,0,-1,96.0909,-1,
2,137,-1,1,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
3,74,0.8785,1,-1,87.0909,-1,
3,74,-1,0,1,87.0909,1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,1,87.0909,1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
3,74,-1,0,-1,87.0909,-1,
4,70.5,-1,1,-1,86.9091,-1,
4,70.5,-1,0,-1,86.9091,-1,
4,70.5,-1,0,-1,86.9091,-1,
5,6,-1,1,-1,82.3636,-1,
5,6,0.229539,0,-1,82.3636,-1,
5,6,0.713873,0,-1,82.3636,-1,
5,6,0.765118,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
5,6,-1,0,-1,82.3636,-1,
6,44.3333,-1,1,-1,82.3636,-1,
7,16.3333,0.970805,1,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,0.846667,82.2727,0.9,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
7,16.3333,-1,0,-1,82.2727,-1,
8,45.5,-1,1,-1,77.7273,-1,
8,45.5,-1,0,-1,77.7273,-1,
8,45.5,-1,0,-1,77.7273,-1,
8,45.5,-1,0,-1,77.7273,-1,
9,37.5,-1,1,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,-1,0,-1,77.6364,-1,
9,37.5,0.995763,0,-1,77.6364,-1,
9,37.5,0.2036,0,-1,77.6364,-1,
9,37.5,0.130096,0,-1,77.6364,-1,
9,37.5,0.998931,0,-1,77.6364,-1,
10,37,-1,1,-1,77.4545,-1,
10,37,0.410237,0,-1,77.4545,-1,
10,37,0.9829,0,0.781111,77.4545,0.8,
10,37,0.0325827,0,-1,77.4545,-1,
10,37,0.0718395,0,-1,77.4545,-1,
10,37,1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,1,0,-1,77.4545,-1,
10,37,0.979135,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,0.98624,0,-1,77.4545,-1,
10,37,0.984124,0,-1,77.4545,-1,
10,37,1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,0.986055,0,-1,77.4545,-1,
10,37,0.999081,0,-1,77.4545,-1,
10,37,-1,0,0.781111,77.4545,0.8,
10,37,-1,0,-1,77.4545,-1,
10,37,-1,0,-1,77.4545,-1,
10,37,0.195667,0,-1,77.4545,-1,
11,36.75,0.998977,1,-1,77.4545,-1,
11,36.75,0.994122,0,-1,77.4545,-1,
12,54.8,-1,1,-1,77.4545,-1,
12,54.8,0.0184376,0,-1,77.4545,-1,
12,54.8,0.999999,0,-1,77.4545,-1,
12,54.8,0.991722,0,-1,77.4545,-1,
12,54.8,-1,0,-1,77.4545,-1,
12,54.8,-1,0,-1,77.4545,-1,
12,54.8,1,0,-1,77.4545,-1,
